,id,energy_above_hull
1267,mp-10204,
1268,mp-1020578,
1269,mp-10208,
1270,mp-1021157,
1271,mp-1021162,
1272,mp-1021159,
1273,mp-1021161,
1274,mp-10212,
1275,mp-10213,
1276,mp-1021305,
1277,mp-1021311,
1278,mp-1021313,
1279,mp-10209,
1280,mp-1021327,
1281,mp-1021328,
1282,mp-1021342,
1283,mp-1021374,
1284,mp-1021383,
1285,mp-1021389,
1286,mp-10214,
1287,mp-1021393,
1288,mp-1021419,
1289,mp-1021423,
1290,mp-1021424,
1291,mp-1021484,
1292,mp-1021449,
1293,mp-1021488,
1294,mp-1021431,
1295,mp-1021478,
1296,mp-1021497,
1297,mp-1021489,
1298,mp-1021503,
1299,mp-1021511,
1300,mp-1021516,
1301,mp-1021520,
1302,mp-1021659,
1303,mp-1021660,
1304,mp-1021666,
1305,mp-1021667,
1306,mp-1021668,
1307,mp-1021670,
1308,mp-1021669,
1309,mp-1021672,
1310,mp-1021674,
1311,mp-1021747,
1312,mp-1021779,
1313,mp-10219,
1314,mp-1021905,
1315,mp-1022,
1316,mp-1022051,
1317,mp-1022081,
1318,mp-1022026,
1319,mp-1022089,
1320,mp-1022107,
1321,mp-1022109,
1322,mp-1022116,
1323,mp-1021848,
1324,mp-1022119,
1325,mp-1022123,
1326,mp-1022140,
1327,mp-1022207,
1328,mp-1022221,
1329,mp-1022318,
1330,mp-1022387,
1331,mp-10224,
1332,mp-1022488,
1333,mp-1022489,
1334,mp-1022493,
1335,mp-10225,
1336,mp-1022494,
1337,mp-1022553,
1338,mp-1022554,
1339,mp-1022514,
1340,mp-1022517,
1341,mp-10226,
1342,mp-1022583,
1343,mp-1022584,
1344,mp-1022672,
1345,mp-1022697,
1346,mp-1022622,
1347,mp-1022713,
1348,mp-1022712,
1349,mp-1022684,
1350,mp-1022656,
1351,mp-1022718,
1352,mp-1022721,
1353,mp-1022723,
1354,mp-1022724,
1355,mp-1022725,
1356,mp-10228,
1357,mp-1022732,
1358,mp-1022729,
1359,mp-1022728,
1360,mp-1022722,
1361,mp-10229,
1362,mp-1022924,
1363,mp-1022963,
1364,mp-10231,
1365,mp-1023125,
1366,mp-1023124,
1367,mp-1023128,
